League,Match_Date,Matchweek,Team,Home_Away,Home_Team,Away_Team,Home_Score,Away_Score,Home_Formation,Away_Formation,season,Formation,npxG_Expected,SoT,xAG_Expected,SCA_SCA,GCA_SCA,PrgP_Passes,PrgC_Carries,Succ_Take_Ons,Tkl,Int,Blocks,team_Shots_MQS,team_DA_MQS,team_Poss_MQS,team_Def_MQS,team_MQS
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Manchester City,Away,RB Leipzig,Manchester City,2,1,4-2-3-1,4-3-3,2021-2022,4-3-3,51.088534107402026,41.146589259796805,55.442670537010166,65.38461538461539,60.087082728592165,85.26850507982583,83.81712626995646,7.619738751814223,15.239477503628446,69.23076923076923,7.329462989840348,46.11756168359942,60.30478955007257,84.54281567489114,24.854862119013063,49.24132471302283
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Paris Saint-Germain,Home,Paris Saint-Germain,Club Brugge,4,1,4-3-3,4-2-3-1,2021-2022,4-3-3,94.04934687953556,92.3076923076923,96.9521044992743,83.67198838896952,97.31494920174165,76.12481857764877,78.95500725689405,72.42380261248186,29.245283018867923,41.07402031930334,64.51378809869375,93.17851959361394,92.64634736332849,77.53991291727141,51.81422351233672,75.14843646919118
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Club Brugge,Away,Paris Saint-Germain,Club Brugge,4,1,4-3-3,4-2-3-1,2021-2022,4-2-3-1,46.00870827285922,79.10014513788099,44.55732946298984,68.94049346879537,60.087082728592165,79.31785195936139,49.709724238026126,64.73149492017417,44.339622641509436,81.56748911465893,55.29753265602322,62.554426705370105,57.86163522012579,64.51378809869377,61.48403483309144,61.24158860007917
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Porto,Home,Porto,Atlético Madrid,1,3,4-4-2,3-5-2,2021-2022,4-4-2,30.696661828737298,68.86792452830188,37.953555878084174,59.43396226415094,35.99419448476052,62.62699564586357,33.236574746008706,72.42380261248186,15.239477503628446,41.07402031930334,88.6066763425254,49.782293178519595,44.46057087566521,47.93178519593614,54.33599419448476,49.65034965034965
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Atlético Madrid,Away,Porto,Atlético Madrid,1,3,4-4-2,3-5-2,2021-2022,3-5-2,99.92743105950653,68.86792452830188,95.06531204644412,38.243831640058055,86.13933236574745,3.7735849056603774,33.236574746008706,48.76632801161103,73.22206095791002,93.6865021770682,73.43976777939042,84.39767779390421,73.14949201741655,18.505079825834542,72.27866473149491,64.94260456524607
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Ajax,Home,Ajax,Sporting CP,4,2,4-2-3-1,3-4-3,2021-2022,4-2-3-1,56.313497822931794,79.10014513788099,50.29027576197388,79.02757619738752,93.03338171262699,70.75471698113208,56.16835994194484,29.172714078374458,78.73730043541364,30.478955007256893,35.92162554426706,67.70682148040639,74.1170778906628,63.46153846153846,43.57764876632801,59.90895896556274
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Sporting CP,Away,Ajax,Sporting CP,4,2,4-2-3-1,3-4-3,2021-2022,3-4-3,51.088534107402026,54.862119013062404,60.88534107402032,42.96081277213353,81.27721335268505,44.70246734397678,49.709724238026126,29.172714078374458,44.339622641509436,87.30043541364296,64.51378809869375,52.97532656023222,61.70778906627963,47.20609579100145,56.33164005805515,55.52843383032062
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Real Madrid,Home,Real Madrid,Internazionale,2,0,4-3-3,3-5-2,2021-2022,4-3-3,51.088534107402026,68.86792452830188,66.54571843251088,79.02757619738752,81.27721335268505,62.62699564586357,61.46589259796807,39.477503628447025,1.6690856313497822,61.03047895500726,19.085631349782293,59.978229317851955,75.61683599419449,62.046444121915826,30.315674891146593,53.83295949333685
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Internazionale,Away,Real Madrid,Internazionale,2,0,4-3-3,3-5-2,2021-2022,3-5-2,35.776487663280115,41.146589259796805,44.55732946298984,83.67198838896952,28.88243831640058,59.57910014513787,78.95500725689405,20.246734397677795,21.988388969521043,69.23076923076923,12.191582002902758,38.46153846153846,52.37058538945332,69.26705370101595,30.914368650217703,45.1114922813036
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Dortmund,Home,Dortmund,Beşiktaş,5,0,4-3-3,4-2-3-1,2021-2022,4-3-3,94.04934687953556,79.10014513788099,95.93613933236574,99.05660377358491,98.18577648766328,95.64586357039188,92.67053701015965,99.05660377358491,29.245283018867923,21.407837445573293,19.085631349782293,86.57474600870827,97.7261731978713,94.15820029027577,42.198838896952104,74.85816070721731
